weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
sky is clear,Y,7.291666666666667,2,Prince-Arthur / Ste-Famille,Sanguinet / de Maisonneuve
cloudy,Y,20.816666666666666,1,Marquette / Laurier,St-Zotique / Clark
cloudy,Y,43.516666666666666,1,Square St-Louis,Hamel / Sauvé
mist,Y,13.604166666666666,4,Métro St-Laurent (de Maisonneuve / St-Laurent),Napoléon /  St-Dominique
sky is clear,Y,8.341666666666667,2,Duluth / St-Denis,de Lanaudière / Marie-Anne
cloudy,N,5.437037037037038,9,Tupper / du Fort,Drummond / Ste-Catherine
mist,Y,23.95,1,Berri / de Maisonneuve,Marquette / Villeray
cloudy,Y,12.816666666666666,1,Berri / Rachel,de la Gauchetière / de Bleury
cloudy,N,15.3,2,de Châteaubriand / Beaubien,de Lanaudière / Marie-Anne
cloudy,Y,11.716666666666667,2,Ste-Famille / Sherbrooke,Peel / avenue des Canadiens de Montréal
cloudy,Y,9.55,1,de l'Hôtel-de-Ville / Sherbrooke,Marie-Anne / St-Hubert
cloudy,Y,27.175,2,Calixa-Lavallée / Rachel,Cartier / Rosemont
mist,Y,7.391666666666667,2,Resther / du Mont-Royal,Marquette / Rachel
cloudy,N,13.022222222222222,3,St-Dominique / Rachel,Rivard / Rachel
cloudy,Y,30.55,1,Métro St-Laurent (de Maisonneuve / St-Laurent),Louis Hémon / Rosemont
cloudy,Y,7.116666666666666,1,Parc J.-Arthur-Champagne (Chambly / du Mont-Royal),Métro Préfontaine (Moreau / Hochelaga)
cloudy,Y,11.141666666666667,2,Hutchison / Sherbrooke,Queen / Ottawa
sky is clear,Y,12.433333333333334,1,St-André / St-Grégoire,Duluth / St-Denis
thunderstorm,Y,10.375,2,Fairmount / St-Dominique,Marie-Anne / de la Roche
mist,Y,37.03333333333333,1,Métro Laurier (Rivard / Laurier),Hillside / Ste-Catherine
cloudy,Y,15.1,2,Boyer / Rosemont,Wolfe / René-Lévesque
mist,Y,11.5,1,Parc Père-Marquette (Chambord / Rosemont),Coloniale / du Mont-Royal
cloudy,Y,18.75,1,de la Commune / McGill,St-Mathieu / Sherbrooke
mist,Y,6.483333333333333,2,Fairmount / St-Dominique,Marmier / St-Denis
mist,Y,19.266666666666666,1,Alexandre-de-Sève / la Fontaine,de l'Hôtel-de-Ville / Roy
mist,N,21.7,1,Chomedey / de Maisonneuve,Belmore / Sherbrooke
cloudy,Y,13.55,1,Beaudry / Sherbrooke,du Mont-Royal / du Parc
mist,Y,16.633333333333333,2,St-André / Cherrier,Boyer / Rosemont
cloudy,Y,4.266666666666667,1,Logan / Fullum,Rouen / Fullum
cloudy,Y,9.6,1,Clark / Laurier,Stuart / de la Côte-Ste-Catherine
cloudy,Y,41.63333333333333,1,de Gaspé / Dante,St-Urbain / René-Lévesque
cloudy,N,15.866666666666667,2,St-Jacques / St-Pierre,Duluth / St-Laurent
cloudy,Y,34.479166666666664,4,Tupper / du Fort,de Maisonneuve / Stanley
cloudy,Y,14.716666666666667,1,de Bordeaux / Rachel,de la Gauchetière / Mansfield
cloudy,N,13.216666666666667,1,Mansfield / René-Lévesque,St-André / St-Antoine
cloudy,N,25.466666666666665,1,Émile-Journault / de Chateaubriand,Square Phillips
mist,Y,6.277777777777778,3,Villeneuve / de l'Hôtel-de-Ville,de l'Esplanade / Fairmount
cloudy,Y,4.716666666666667,1,Gauthier / De Lorimier,Chabot / du Mont-Royal
fog,N,11.35,2,Métro Charlevoix (Centre / Charlevoix),Square Sir-Georges-Etienne-Cartier / Ste-Émilie
mist,Y,25.25,1,Davaar / de la Côte-Ste-Catherine,Laurier / Bordeaux
cloudy,Y,11.69,5,de Maisonneuve / Stanley,Ste-Catherine / St-Denis
cloudy,N,10.055555555555555,3,Berri / de Maisonneuve,d'Outremont / Ogilvy
mist,Y,16.666666666666668,3,Rushbrooke /  Caisse,Godin / Bannantyne
cloudy,Y,27.075,2,Lambert-Closse / Tupper,Regina / Verdun
cloudy,Y,13.225,2,Métro Monk (Allard / Beaulieu),Square Sir-Georges-Étienne-Cartier / Léa Roback
sky is clear,Y,17.233333333333334,1,St-Dominique / Jean-Talon,Marquette / St-Grégoire
sky is clear,Y,16.916666666666668,1,Boyer / Rosemont,de la Gauchetière / Robert-Bourassa
cloudy,Y,28.666666666666668,1,Ste-Famille / Sherbrooke,Chambord / Beaubien
